Serial,Unnamed: 1,Unnamed: 2,Name,Ripeness,Side Case,Symptom1,Symptom2,Symptom3,Recommendation 1,Recommendation 2,Photos,image_name,label,tomato_id,image_path,source_folder,split
97,,25.0,T0025_E,Ripe,clear,,,,Normal,,,T0025_E,clear,T0025,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0025_E.png,Manualy Segmented,train
97,,25.0,T0025_E,Ripe,clear,,,,Normal,,,T0025_E,clear,T0025,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0025_E.JPG,Unsegmented,train
98,,,T0025_S1,Ripe,clear,,,,,,,T0025_S1,clear,T0025,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0025_S1.png,Manualy Segmented,train
98,,,T0025_S1,Ripe,clear,,,,,,,T0025_S1,clear,T0025,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0025_S1.JPG,Unsegmented,train
99,,,T0025_S2,Ripe,clear,,,,,,,T0025_S2,clear,T0025,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0025_S2.png,Manualy Segmented,train
99,,,T0025_S2,Ripe,clear,,,,,,,T0025_S2,clear,T0025,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0025_S2.JPG,Unsegmented,train
100,,,T0025_T,Ripe,clear,,,,,,,T0025_T,clear,T0025,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0025_T.png,Manualy Segmented,train
100,,,T0025_T,Ripe,clear,,,,,,,T0025_T,clear,T0025,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0025_T.JPG,Unsegmented,train
101,,26.0,T0026_E,Ripe,clear,,,,Normal,,,T0026_E,clear,T0026,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0026_E.png,Manualy Segmented,train
101,,26.0,T0026_E,Ripe,clear,,,,Normal,,,T0026_E,clear,T0026,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0026_E.JPG,Unsegmented,train
102,,,T0026_S1,Ripe,clear,,,,,,,T0026_S1,clear,T0026,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0026_S1.png,Manualy Segmented,train
102,,,T0026_S1,Ripe,clear,,,,,,,T0026_S1,clear,T0026,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0026_S1.JPG,Unsegmented,train
103,,,T0026_S2,Ripe,clear,,,,,,,T0026_S2,clear,T0026,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0026_S2.png,Manualy Segmented,train
103,,,T0026_S2,Ripe,clear,,,,,,,T0026_S2,clear,T0026,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0026_S2.JPG,Unsegmented,train
104,,,T0026_T,Ripe,clear,,,,,,,T0026_T,clear,T0026,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0026_T.png,Manualy Segmented,train
104,,,T0026_T,Ripe,clear,,,,,,,T0026_T,clear,T0026,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0026_T.JPG,Unsegmented,train
113,,29.0,T0029_E,Ripe,clear,,,,Normal,,,T0029_E,clear,T0029,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0029_E.png,Manualy Segmented,train
113,,29.0,T0029_E,Ripe,clear,,,,Normal,,,T0029_E,clear,T0029,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0029_E.JPG,Unsegmented,train
114,,,T0029_S1,Ripe,clear,,,,,,,T0029_S1,clear,T0029,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0029_S1.png,Manualy Segmented,train
114,,,T0029_S1,Ripe,clear,,,,,,,T0029_S1,clear,T0029,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0029_S1.JPG,Unsegmented,train
115,,,T0029_S2,Ripe,clear,,,,,,,T0029_S2,clear,T0029,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0029_S2.png,Manualy Segmented,train
115,,,T0029_S2,Ripe,clear,,,,,,,T0029_S2,clear,T0029,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0029_S2.JPG,Unsegmented,train
116,,,T0029_T,Ripe,clear,,,,,,,T0029_T,clear,T0029,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0029_T.png,Manualy Segmented,train
116,,,T0029_T,Ripe,clear,,,,,,,T0029_T,clear,T0029,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0029_T.JPG,Unsegmented,train
133,,34.0,T0034_E,Ripe,clear,,,,Normal,,,T0034_E,clear,T0034,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0034_E.png,Manualy Segmented,train
133,,34.0,T0034_E,Ripe,clear,,,,Normal,,,T0034_E,clear,T0034,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0034_E.JPG,Unsegmented,train
134,,,T0034_S1,Ripe,clear,,,,,,,T0034_S1,clear,T0034,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0034_S1.png,Manualy Segmented,train
134,,,T0034_S1,Ripe,clear,,,,,,,T0034_S1,clear,T0034,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0034_S1.JPG,Unsegmented,train
135,,,T0034_S2,Ripe,clear,,,,,,,T0034_S2,clear,T0034,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0034_S2.png,Manualy Segmented,train
135,,,T0034_S2,Ripe,clear,,,,,,,T0034_S2,clear,T0034,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0034_S2.JPG,Unsegmented,train
136,,,T0034_T,Ripe,clear,,,,,,,T0034_T,clear,T0034,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0034_T.png,Manualy Segmented,train
136,,,T0034_T,Ripe,clear,,,,,,,T0034_T,clear,T0034,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0034_T.JPG,Unsegmented,train
137,,35.0,T0035_E,Ripe,clear,,,,Normal,,,T0035_E,clear,T0035,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0035_E.png,Manualy Segmented,train
137,,35.0,T0035_E,Ripe,clear,,,,Normal,,,T0035_E,clear,T0035,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0035_E.JPG,Unsegmented,train
138,,,T0035_S1,Ripe,clear,,,,,,,T0035_S1,clear,T0035,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0035_S1.png,Manualy Segmented,train
138,,,T0035_S1,Ripe,clear,,,,,,,T0035_S1,clear,T0035,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0035_S1.JPG,Unsegmented,train
139,,,T0035_S2,Ripe,clear,,,,,,,T0035_S2,clear,T0035,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0035_S2.png,Manualy Segmented,train
139,,,T0035_S2,Ripe,clear,,,,,,,T0035_S2,clear,T0035,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0035_S2.JPG,Unsegmented,train
140,,,T0035_T,Ripe,clear,,,,,,,T0035_T,clear,T0035,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0035_T.png,Manualy Segmented,train
140,,,T0035_T,Ripe,clear,,,,,,,T0035_T,clear,T0035,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0035_T.JPG,Unsegmented,train
141,,36.0,T0036_E,Ripe,clear,,,,Normal,,,T0036_E,clear,T0036,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0036_E.png,Manualy Segmented,train
141,,36.0,T0036_E,Ripe,clear,,,,Normal,,,T0036_E,clear,T0036,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0036_E.JPG,Unsegmented,train
142,,,T0036_S1,Ripe,clear,,,,,,,T0036_S1,clear,T0036,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0036_S1.png,Manualy Segmented,train
142,,,T0036_S1,Ripe,clear,,,,,,,T0036_S1,clear,T0036,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0036_S1.JPG,Unsegmented,train
143,,,T0036_S2,Ripe,clear,,,,,,,T0036_S2,clear,T0036,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0036_S2.png,Manualy Segmented,train
143,,,T0036_S2,Ripe,clear,,,,,,,T0036_S2,clear,T0036,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0036_S2.JPG,Unsegmented,train
144,,,T0036_T,Ripe,clear,,,,,,,T0036_T,clear,T0036,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0036_T.png,Manualy Segmented,train
144,,,T0036_T,Ripe,clear,,,,,,,T0036_T,clear,T0036,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0036_T.JPG,Unsegmented,train
149,,38.0,T0038_E,Ripe,clear,,,,Normal,,,T0038_E,clear,T0038,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0038_E.png,Manualy Segmented,train
149,,38.0,T0038_E,Ripe,clear,,,,Normal,,,T0038_E,clear,T0038,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0038_E.JPG,Unsegmented,train
150,,,T0038_S1,Ripe,clear,,,,,,,T0038_S1,clear,T0038,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0038_S1.png,Manualy Segmented,train
150,,,T0038_S1,Ripe,clear,,,,,,,T0038_S1,clear,T0038,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0038_S1.JPG,Unsegmented,train
151,,,T0038_S2,Ripe,clear,,,,,,,T0038_S2,clear,T0038,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0038_S2.png,Manualy Segmented,train
151,,,T0038_S2,Ripe,clear,,,,,,,T0038_S2,clear,T0038,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0038_S2.JPG,Unsegmented,train
152,,,T0038_T,Ripe,clear,,,,,,,T0038_T,clear,T0038,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0038_T.png,Manualy Segmented,train
152,,,T0038_T,Ripe,clear,,,,,,,T0038_T,clear,T0038,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0038_T.JPG,Unsegmented,train
153,,39.0,T0039_E,Ripe,clear,,,,Normal,,,T0039_E,clear,T0039,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0039_E.png,Manualy Segmented,train
153,,39.0,T0039_E,Ripe,clear,,,,Normal,,,T0039_E,clear,T0039,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0039_E.JPG,Unsegmented,train
154,,,T0039_S1,Ripe,clear,,,,,,,T0039_S1,clear,T0039,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0039_S1.png,Manualy Segmented,train
154,,,T0039_S1,Ripe,clear,,,,,,,T0039_S1,clear,T0039,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0039_S1.JPG,Unsegmented,train
155,,,T0039_S2,Ripe,clear,,,,,,,T0039_S2,clear,T0039,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0039_S2.png,Manualy Segmented,train
155,,,T0039_S2,Ripe,clear,,,,,,,T0039_S2,clear,T0039,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0039_S2.JPG,Unsegmented,train
156,,,T0039_T,Ripe,clear,,,,,,,T0039_T,clear,T0039,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0039_T.png,Manualy Segmented,train
156,,,T0039_T,Ripe,clear,,,,,,,T0039_T,clear,T0039,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0039_T.JPG,Unsegmented,train
157,,40.0,T0040_E,Ripe,clear,,,,Normal,,,T0040_E,clear,T0040,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0040_E.png,Manualy Segmented,train
157,,40.0,T0040_E,Ripe,clear,,,,Normal,,,T0040_E,clear,T0040,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0040_E.JPG,Unsegmented,train
158,,,T0040_S1,Ripe,clear,,,,,,,T0040_S1,clear,T0040,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0040_S1.png,Manualy Segmented,train
158,,,T0040_S1,Ripe,clear,,,,,,,T0040_S1,clear,T0040,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0040_S1.JPG,Unsegmented,train
159,,,T0040_S2,Ripe,clear,,,,,,,T0040_S2,clear,T0040,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0040_S2.png,Manualy Segmented,train
159,,,T0040_S2,Ripe,clear,,,,,,,T0040_S2,clear,T0040,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0040_S2.JPG,Unsegmented,train
160,,,T0040_T,Ripe,clear,,,,,,,T0040_T,clear,T0040,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0040_T.png,Manualy Segmented,train
160,,,T0040_T,Ripe,clear,,,,,,,T0040_T,clear,T0040,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0040_T.JPG,Unsegmented,train
161,,41.0,T0041_E,Ripe,clear,,,,Normal,,,T0041_E,clear,T0041,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0041_E.png,Manualy Segmented,train
161,,41.0,T0041_E,Ripe,clear,,,,Normal,,,T0041_E,clear,T0041,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0041_E.JPG,Unsegmented,train
162,,,T0041_S1,Ripe,clear,,,,,,,T0041_S1,clear,T0041,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0041_S1.png,Manualy Segmented,train
162,,,T0041_S1,Ripe,clear,,,,,,,T0041_S1,clear,T0041,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0041_S1.JPG,Unsegmented,train
163,,,T0041_S2,Ripe,clear,,,,,,,T0041_S2,clear,T0041,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0041_S2.png,Manualy Segmented,train
163,,,T0041_S2,Ripe,clear,,,,,,,T0041_S2,clear,T0041,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0041_S2.JPG,Unsegmented,train
164,,,T0041_T,Ripe,clear,,,,,,,T0041_T,clear,T0041,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0041_T.png,Manualy Segmented,train
164,,,T0041_T,Ripe,clear,,,,,,,T0041_T,clear,T0041,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0041_T.JPG,Unsegmented,train
165,,42.0,T0042_E,Ripe,clear,,,,Normal,,,T0042_E,clear,T0042,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0042_E.png,Manualy Segmented,train
165,,42.0,T0042_E,Ripe,clear,,,,Normal,,,T0042_E,clear,T0042,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0042_E.JPG,Unsegmented,train
166,,,T0042_S1,Ripe,clear,,,,,,,T0042_S1,clear,T0042,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0042_S1.png,Manualy Segmented,train
166,,,T0042_S1,Ripe,clear,,,,,,,T0042_S1,clear,T0042,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0042_S1.JPG,Unsegmented,train
167,,,T0042_S2,Ripe,clear,,,,,,,T0042_S2,clear,T0042,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0042_S2.png,Manualy Segmented,train
167,,,T0042_S2,Ripe,clear,,,,,,,T0042_S2,clear,T0042,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0042_S2.JPG,Unsegmented,train
168,,,T0042_T,Ripe,clear,,,,,,,T0042_T,clear,T0042,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0042_T.png,Manualy Segmented,train
168,,,T0042_T,Ripe,clear,,,,,,,T0042_T,clear,T0042,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0042_T.JPG,Unsegmented,train
173,,44.0,T0044_E,Ripe,clear,,,,Normal,,,T0044_E,clear,T0044,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0044_E.png,Manualy Segmented,train
173,,44.0,T0044_E,Ripe,clear,,,,Normal,,,T0044_E,clear,T0044,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0044_E.JPG,Unsegmented,train
174,,,T0044_S1,Ripe,clear,,,,,,,T0044_S1,clear,T0044,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0044_S1.png,Manualy Segmented,train
174,,,T0044_S1,Ripe,clear,,,,,,,T0044_S1,clear,T0044,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0044_S1.JPG,Unsegmented,train
175,,,T0044_S2,Ripe,clear,,,,,,,T0044_S2,clear,T0044,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0044_S2.png,Manualy Segmented,train
175,,,T0044_S2,Ripe,clear,,,,,,,T0044_S2,clear,T0044,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0044_S2.JPG,Unsegmented,train
176,,,T0044_T,Ripe,clear,,,,,,,T0044_T,clear,T0044,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0044_T.png,Manualy Segmented,train
176,,,T0044_T,Ripe,clear,,,,,,,T0044_T,clear,T0044,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0044_T.JPG,Unsegmented,train
177,,45.0,T0045_E,Unripe,defected,spots,,,not sure,,,T0045_E,defected,T0045,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0045_E.png,Manualy Segmented,train
177,,45.0,T0045_E,Unripe,defected,spots,,,not sure,,,T0045_E,defected,T0045,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0045_E.JPG,Unsegmented,train
178,,,T0045_S1,Unripe,defected,spots,,,,,,T0045_S1,defected,T0045,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0045_S1.png,Manualy Segmented,train
178,,,T0045_S1,Unripe,defected,spots,,,,,,T0045_S1,defected,T0045,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0045_S1.JPG,Unsegmented,train
179,,,T0045_S2,Unripe,defected,spots,,,,,,T0045_S2,defected,T0045,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0045_S2.png,Manualy Segmented,train
179,,,T0045_S2,Unripe,defected,spots,,,,,,T0045_S2,defected,T0045,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0045_S2.JPG,Unsegmented,train
180,,,T0045_T,Unripe,defected,spots,,,,,,T0045_T,defected,T0045,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0045_T.png,Manualy Segmented,train
180,,,T0045_T,Unripe,defected,spots,,,,,,T0045_T,defected,T0045,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0045_T.JPG,Unsegmented,train
185,,47.0,T0047_E,ripe,defected,Black round area at the center,brown area at the center,,blossom end rot,,,T0047_E,defected,T0047,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0047_E.png,Manualy Segmented,train
185,,47.0,T0047_E,ripe,defected,Black round area at the center,brown area at the center,,blossom end rot,,,T0047_E,defected,T0047,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0047_E.JPG,Unsegmented,train
186,,,T0047_S1,ripe,clear,,,,,,,T0047_S1,clear,T0047,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0047_S1.png,Manualy Segmented,train
186,,,T0047_S1,ripe,clear,,,,,,,T0047_S1,clear,T0047,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0047_S1.JPG,Unsegmented,train
187,,,T0047_S2,ripe,clear,,,,,,,T0047_S2,clear,T0047,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0047_S2.png,Manualy Segmented,train
187,,,T0047_S2,ripe,clear,,,,,,,T0047_S2,clear,T0047,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0047_S2.JPG,Unsegmented,train
188,,,T0047_T,ripe,clear,,,,,,,T0047_T,clear,T0047,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0047_T.png,Manualy Segmented,train
188,,,T0047_T,ripe,clear,,,,,,,T0047_T,clear,T0047,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0047_T.JPG,Unsegmented,train
189,,48.0,T0048_E,ripe,clear,,,,Anthracnose,,,T0048_E,clear,T0048,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0048_E.png,Manualy Segmented,train
189,,48.0,T0048_E,ripe,clear,,,,Anthracnose,,,T0048_E,clear,T0048,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0048_E.JPG,Unsegmented,train
190,,,T0048_S1,ripe,defected,Black rounded Blotches,,,Anthracnose,,,T0048_S1,defected,T0048,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0048_S1.png,Manualy Segmented,train
190,,,T0048_S1,ripe,defected,Black rounded Blotches,,,Anthracnose,,,T0048_S1,defected,T0048,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0048_S1.JPG,Unsegmented,train
191,,,T0048_S2,ripe,clear,,,,Anthracnose,,,T0048_S2,clear,T0048,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0048_S2.png,Manualy Segmented,train
191,,,T0048_S2,ripe,clear,,,,Anthracnose,,,T0048_S2,clear,T0048,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0048_S2.JPG,Unsegmented,train
192,,,T0048_T,ripe,defected,black area at the top,,,Anthracnose,,,T0048_T,defected,T0048,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0048_T.png,Manualy Segmented,train
192,,,T0048_T,ripe,defected,black area at the top,,,Anthracnose,,,T0048_T,defected,T0048,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0048_T.JPG,Unsegmented,train
193,,49.0,T0049_E,ripe,defected,Black round area at the center,,,blossom end rot,worms,,T0049_E,defected,T0049,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0049_E.png,Manualy Segmented,train
193,,49.0,T0049_E,ripe,defected,Black round area at the center,,,blossom end rot,worms,,T0049_E,defected,T0049,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0049_E.JPG,Unsegmented,train
194,,,T0049_S1,ripe,defected,Black round area near end,,,blossom end rot,worms,,T0049_S1,defected,T0049,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0049_S1.png,Manualy Segmented,train
194,,,T0049_S1,ripe,defected,Black round area near end,,,blossom end rot,worms,,T0049_S1,defected,T0049,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0049_S1.JPG,Unsegmented,train
195,,,T0049_S2,ripe,clear,,,,blossom end rot,,,T0049_S2,clear,T0049,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0049_S2.png,Manualy Segmented,train
195,,,T0049_S2,ripe,clear,,,,blossom end rot,,,T0049_S2,clear,T0049,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0049_S2.JPG,Unsegmented,train
196,,,T0049_T,ripe,clear,,,,blossom end rot,,,T0049_T,clear,T0049,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0049_T.png,Manualy Segmented,train
196,,,T0049_T,ripe,clear,,,,blossom end rot,,,T0049_T,clear,T0049,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0049_T.JPG,Unsegmented,train
197,,50.0,T0050_E,ripe,clear,,,,stem end rot,,,T0050_E,clear,T0050,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0050_E.png,Manualy Segmented,train
197,,50.0,T0050_E,ripe,clear,,,,stem end rot,,,T0050_E,clear,T0050,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Unsegmented\T0050_E.JPG,Unsegmented,train
198,,,T0050_S1,ripe,clear,,,,stem end rot,,,T0050_S1,clear,T0050,C:\Users\arafa\Documents\Thesis\[RestNet-50] Tomato body Dataset\Manualy Segmented\T0050_S1.png,Manualy Segmented,train
